Farm ID,Farm Size (Acres),Crop Type,Annual Yield (Tons),Soil pH,Rainfall (mm/year),Temperature (°C),Fertilizer Usage (kg/acre)
449,191.25,Rice,19.24,7.64,417.97,25.02,465.48
450,46.33,Wheat,89.5,5.77,452.79,27.52,295.17
451,389.69,Rice,65.77,6.1,1321.55,17.13,171.38
452,281.41,Wheat,16.06,8.13,879.63,25.77,366.08
453,214.99,Rice,44.59,7.72,1859.36,21.39,346.51
454,453.65,Rice,61.91,5.54,991.2,22.05,495.11
455,60.04,Corn,9.26,6.25,543.58,28.94,169.27
456,248.85,Wheat,88.36,6.14,1515.02,17.05,352.43
457,10.62,Corn,80.56,6.31,798.7,17.95,73.41
458,236.99,Wheat,51.02,6.24,1193.3,33.12,101.14
459,32.87,Rice,96.75,5.69,1486.32,11.41,51.76
460,63.81,Rice,42.36,6.88,1830.45,22.14,499.76
461,63.18,Wheat,98.43,7.7,1646.73,32.82,411.02
462,326.36,Corn,67.12,7.32,1449.81,25.26,404.03
463,374.29,Corn,63.83,7.52,1455.38,23.66,279.38
464,293.77,Corn,17.43,5.74,1908.07,16.24,185.03
465,481.28,Corn,88.31,8.35,802.9,18.58,118.07
466,190.56,Rice,43.32,8.02,301.89,31.3,178.1
467,146.43,Rice,17.06,7.92,762.32,23.98,219.19
468,434.96,Rice,2.25,7.97,670.42,22.87,390.34
469,115.68,Rice,56.42,8.3,1425.12,12.49,292.85
470,481.8,Rice,53.21,7.13,1377.31,10.4,84.87
471,11.02,Corn,72.22,6.1,1308.88,34.09,58.11
472,485.09,Corn,89.14,7.35,327.61,19.42,96.05
473,26.36,Corn,8.86,7.73,1538.92,25.08,234.72
474,446.12,Corn,73.42,7.71,850.0,11.99,469.94
475,266.21,Rice,19.55,7.06,1430.6,27.08,336.83
476,496.52,Rice,85.96,5.71,1246.18,33.31,410.82
477,41.53,Rice,82.09,6.61,882.64,24.39,259.87
478,279.16,Wheat,54.54,8.26,528.78,13.15,212.75
479,484.8,Corn,71.31,7.25,460.51,24.54,98.78
480,263.93,Corn,32.12,7.11,1713.58,29.16,444.17
481,316.55,Rice,47.65,6.31,1861.28,20.16,402.42
482,349.4,Corn,82.34,6.61,1404.64,32.0,125.65
483,230.0,Corn,46.47,8.19,475.84,26.22,280.52
484,315.64,Rice,36.42,7.5,983.45,32.48,269.32
485,294.24,Wheat,49.93,7.86,1539.2,25.59,331.29
486,451.07,Wheat,83.0,6.86,1625.7,13.28,475.78
487,27.5,Wheat,34.19,7.39,500.97,17.74,310.9
488,144.08,Rice,18.2,6.25,300.05,15.04,293.1
489,475.45,Corn,71.49,7.62,1510.63,32.72,72.65
490,445.68,Rice,82.77,6.78,906.21,29.01,78.31
491,230.55,Rice,10.96,6.83,732.62,26.91,134.31
492,311.97,Corn,24.75,7.45,321.93,17.52,64.61
493,142.3,Wheat,15.06,8.31,1218.51,14.6,384.51
494,98.12,Wheat,35.45,5.69,1746.96,28.91,375.5
495,234.53,Rice,45.58,7.97,1927.97,21.85,111.23
496,179.91,Wheat,75.13,6.38,1261.77,15.64,426.24
497,293.91,Rice,65.46,6.83,1174.58,25.42,119.65
498,43.48,Rice,62.47,5.57,444.6,11.01,185.53
499,487.33,Corn,35.89,6.4,1233.08,18.15,162.04
500,493.17,Corn,84.3,7.01,945.96,21.71,217.54
501,350.59,Corn,47.66,5.67,1332.13,13.7,164.6
502,270.37,Rice,97.93,6.97,960.83,34.62,270.03
503,158.22,Corn,63.78,8.28,708.51,15.23,233.33
504,407.83,Wheat,13.5,5.82,461.44,13.26,493.96
505,343.94,Wheat,67.94,7.79,835.36,15.09,75.17
506,85.5,Rice,33.19,6.73,464.3,29.23,113.98
507,455.91,Rice,68.95,7.47,600.72,20.64,73.77
508,412.16,Corn,7.89,6.28,1978.47,24.14,331.63
509,475.15,Rice,18.31,5.98,1054.98,10.53,74.53
510,364.23,Rice,85.72,5.98,1204.18,10.86,426.4
511,308.64,Wheat,23.49,5.71,1785.15,21.15,280.37
512,212.03,Wheat,83.87,6.06,1992.47,30.42,287.15
513,466.7,Corn,28.65,7.49,1290.61,32.13,302.72
514,433.7,Rice,64.65,8.15,1681.21,12.17,126.87
515,27.38,Rice,69.72,7.94,855.8,23.46,138.96
516,18.05,Wheat,51.75,7.56,819.76,32.83,193.47
517,191.35,Rice,31.23,5.83,984.6,19.7,317.07
518,406.22,Wheat,22.05,6.37,1443.26,30.74,144.55
519,493.7,Corn,4.29,6.43,1459.73,13.34,102.35
520,79.46,Wheat,31.09,6.25,835.91,33.38,486.55
521,299.09,Rice,65.66,7.05,526.46,28.79,59.89
522,193.54,Corn,93.89,7.11,1375.07,33.53,411.21
523,485.11,Wheat,87.25,6.57,518.15,26.92,404.62
524,421.85,Wheat,76.84,6.56,1283.44,19.09,183.75
525,419.97,Corn,79.06,7.99,1478.82,33.45,111.03
526,237.0,Corn,66.83,7.87,1491.04,16.89,115.53
527,210.34,Wheat,26.77,6.42,1580.9,18.3,363.84
528,140.34,Rice,90.81,8.24,1783.86,27.52,339.26
529,32.91,Wheat,67.4,8.36,1149.93,29.13,402.24
530,433.04,Corn,56.48,6.48,1541.42,33.24,471.87
531,407.39,Wheat,11.99,6.56,1352.59,15.12,361.37
532,499.86,Corn,45.26,7.02,617.29,29.95,120.13
533,498.34,Corn,46.58,8.32,343.67,28.46,159.55
534,279.94,Rice,86.59,8.13,783.72,11.59,428.99
535,385.65,Corn,55.12,5.81,1053.16,19.68,144.19
536,472.66,Corn,38.66,6.68,1349.08,17.07,82.64
537,425.58,Rice,97.7,7.16,1744.93,17.61,366.48
538,127.44,Corn,11.96,7.01,633.62,34.57,231.14
539,228.02,Rice,42.83,6.08,513.43,26.07,464.02
540,68.93,Rice,5.16,8.08,1937.92,27.94,342.61
541,477.26,Corn,74.25,7.53,483.68,34.42,90.69
542,305.06,Corn,91.89,8.01,1113.43,19.43,476.54
543,118.18,Wheat,28.72,8.08,1295.46,30.05,166.35
544,337.49,Rice,85.98,7.75,1220.34,20.86,201.75
545,310.97,Wheat,29.93,6.82,446.25,31.74,231.02
546,182.29,Corn,91.17,7.33,396.95,14.52,73.05
547,61.21,Wheat,75.64,5.98,479.32,33.69,273.43
548,337.43,Rice,80.69,7.52,1295.5,15.47,105.49
549,262.55,Wheat,2.78,6.04,1225.39,18.16,230.44
550,387.3,Rice,96.32,7.58,697.36,28.9,207.82
551,262.48,Corn,72.94,6.19,1384.22,19.84,397.78
552,426.83,Corn,31.17,5.85,1694.11,25.21,411.43
553,278.19,Rice,83.11,6.0,370.68,21.11,119.04
554,282.66,Corn,28.87,5.51,1146.82,28.56,214.95
555,438.94,Corn,87.4,7.66,1471.83,15.71,218.01
556,204.72,Corn,12.15,7.7,728.93,11.46,118.13
557,71.34,Corn,70.66,7.04,823.21,17.5,409.3
558,19.25,Rice,54.53,5.98,1343.18,21.86,368.25
559,378.79,Wheat,10.56,5.75,1826.49,14.2,135.67
560,312.05,Wheat,24.95,5.56,1676.87,18.87,215.02
561,353.52,Corn,2.23,6.0,1291.32,20.0,97.61
562,110.42,Wheat,47.41,8.17,1541.38,11.43,332.69
563,72.5,Wheat,30.83,6.22,920.2,24.58,104.62
564,12.2,Corn,60.24,6.56,1389.64,32.11,493.67
565,178.54,Corn,30.43,5.82,1092.51,13.79,401.31
566,297.01,Wheat,30.69,6.17,622.89,24.95,225.61
567,199.16,Rice,74.58,7.06,1492.96,26.62,310.35
568,221.55,Corn,5.77,7.32,1245.99,20.48,460.1
569,452.56,Rice,90.39,6.24,909.66,27.53,299.34
570,177.39,Wheat,85.37,5.67,1849.28,20.27,128.52
571,259.42,Corn,67.11,6.67,335.59,22.62,220.42
572,392.91,Rice,59.73,6.2,836.81,10.18,429.42
573,201.29,Corn,89.34,6.16,396.7,27.29,339.9
574,312.93,Wheat,19.35,8.38,1603.1,26.53,342.83
575,431.87,Rice,8.82,7.35,1493.58,10.96,440.07
576,475.01,Wheat,24.71,7.17,863.3,19.21,452.29
577,77.8,Wheat,79.66,6.75,1448.63,34.48,463.91
578,463.66,Corn,4.43,6.79,973.09,20.52,92.68
579,248.6,Rice,58.7,7.12,1585.63,22.55,294.86
580,132.83,Wheat,99.55,7.59,1072.11,32.75,383.23
581,232.27,Wheat,85.71,7.61,1000.88,27.93,390.62
582,490.12,Rice,52.62,6.02,1889.04,24.55,323.02
583,248.85,Wheat,7.3,7.0,726.49,29.95,125.05
584,167.73,Wheat,83.31,6.74,504.76,31.61,408.84
585,318.53,Rice,60.3,8.11,1293.72,21.42,374.05
586,123.87,Rice,12.38,7.39,1947.85,21.88,88.76
587,42.55,Rice,10.29,7.1,942.33,19.65,258.71
588,68.8,Rice,91.05,5.85,405.46,34.17,128.29
589,68.38,Corn,67.25,7.32,876.82,27.43,201.86
590,80.19,Rice,83.1,5.85,1160.08,12.08,58.14
591,73.72,Corn,88.02,6.51,575.27,31.57,230.15
592,322.23,Corn,57.61,5.93,1418.77,22.01,297.44
593,95.03,Corn,52.23,7.58,1996.17,11.72,328.81
594,176.11,Wheat,43.61,6.12,1067.96,23.74,348.57
595,448.91,Corn,32.38,6.68,903.04,20.43,426.33
596,239.61,Corn,44.03,8.19,981.2,31.94,146.96
597,335.44,Wheat,77.61,6.11,495.75,15.1,104.22
598,90.3,Wheat,60.59,7.02,1801.57,30.66,433.19
599,100.18,Wheat,89.36,6.76,1005.2,23.94,120.48
600,25.23,Rice,44.89,5.55,958.37,11.37,488.64
601,88.62,Wheat,61.1,7.88,1421.47,34.3,429.14
602,142.9,Wheat,63.5,5.71,1051.46,22.82,275.39
603,92.62,Corn,59.58,6.92,1402.0,17.27,491.64
604,48.91,Wheat,70.56,7.18,404.46,21.74,93.82
605,64.71,Rice,24.51,7.39,1683.33,31.45,186.38
606,233.09,Wheat,51.72,7.57,1898.86,17.62,337.2
607,107.14,Rice,11.32,6.26,1402.9,14.82,207.5
608,185.31,Wheat,39.07,5.53,1922.76,13.23,467.77
609,254.19,Wheat,49.28,7.67,557.43,17.45,79.53
610,346.75,Wheat,65.57,7.11,1111.61,29.5,297.24
611,24.46,Wheat,95.1,8.01,1323.07,21.79,315.89
612,400.71,Rice,60.46,7.96,1288.95,15.69,343.73
613,315.81,Rice,74.62,8.03,982.49,14.15,165.05
614,45.47,Corn,51.12,6.96,874.74,18.32,214.05
615,437.42,Rice,63.78,6.5,515.6,33.5,429.66
616,460.83,Wheat,8.02,7.87,965.96,18.58,137.72
617,35.23,Corn,26.18,6.85,576.52,34.7,422.09
618,142.05,Corn,36.82,6.05,1548.42,22.13,303.19
619,404.07,Corn,47.78,8.06,655.01,14.48,392.98
620,375.39,Wheat,5.52,8.15,399.56,32.28,371.12
621,96.34,Rice,14.86,6.9,1239.02,21.51,143.38
622,108.63,Wheat,28.4,5.73,1311.89,27.74,305.97
623,188.38,Corn,97.18,6.66,1782.25,34.59,440.48
624,244.84,Wheat,33.8,7.91,1280.87,11.25,244.45
625,311.04,Wheat,48.72,8.21,887.32,12.42,484.97
626,187.61,Rice,20.41,6.11,1665.12,28.01,253.5
627,233.95,Rice,61.47,5.7,1218.47,17.05,114.25
628,375.0,Corn,28.79,8.13,434.78,14.61,225.25
629,23.16,Wheat,21.49,6.67,1261.95,10.98,478.27
630,129.96,Wheat,52.14,7.13,1843.63,10.55,193.87
631,358.11,Rice,1.55,8.4,973.73,29.36,440.64
632,448.13,Wheat,1.76,5.7,803.75,13.36,446.56
633,258.28,Wheat,22.69,7.44,543.9,21.69,207.58
634,268.4,Wheat,4.64,5.72,557.46,25.15,87.47
635,58.05,Rice,11.69,6.63,1035.71,20.71,376.05
636,226.47,Corn,34.55,7.91,1312.66,10.68,190.18
637,268.65,Corn,80.46,6.8,437.05,29.59,402.32
638,125.02,Wheat,57.63,8.49,1897.27,10.26,249.19
639,138.28,Corn,51.75,7.18,1583.73,29.05,268.37
640,191.76,Rice,30.06,6.46,1297.26,32.33,400.06
641,14.94,Rice,93.24,6.16,1708.35,20.82,222.06
642,164.43,Corn,40.3,6.55,436.32,23.39,249.41
643,109.67,Corn,9.62,6.62,1110.63,21.92,219.29
644,167.11,Wheat,62.09,5.71,1371.16,19.73,215.3
645,64.28,Corn,12.27,6.61,1708.71,32.19,286.68
646,445.81,Wheat,35.18,6.89,1631.9,32.35,413.96
647,298.83,Wheat,51.23,7.67,771.02,18.4,212.8
648,341.16,Rice,87.55,7.47,1899.5,25.38,285.91
649,395.64,Rice,49.86,7.63,511.39,33.17,351.83
650,251.73,Rice,70.52,5.53,1787.73,34.05,171.25
651,48.03,Rice,99.29,6.15,1950.6,22.72,174.89
652,270.87,Corn,14.02,7.49,601.16,21.32,470.04
653,295.49,Rice,28.2,6.95,1527.51,16.97,375.59
654,373.99,Corn,40.06,5.52,368.49,33.97,309.73
655,218.67,Rice,42.76,7.91,989.22,13.57,341.47
656,68.15,Corn,41.69,7.82,1177.68,24.5,63.18
657,145.47,Wheat,90.85,7.15,1287.1,17.06,328.15
658,184.73,Corn,71.69,5.7,1891.09,16.98,279.28
659,324.73,Corn,61.18,7.8,1442.83,20.12,295.59
660,287.54,Rice,31.63,7.25,1118.17,34.97,211.74
661,181.27,Corn,82.56,7.85,1676.45,11.37,86.66
662,493.33,Wheat,95.55,7.76,1915.91,24.46,137.0
663,304.86,Wheat,82.3,7.91,337.51,12.06,477.84
664,122.43,Rice,1.15,7.05,1970.29,13.86,233.91
665,55.38,Wheat,64.0,5.92,446.42,20.99,260.01
666,80.67,Corn,6.06,7.51,1684.46,22.76,73.72
667,126.75,Wheat,26.5,7.36,776.57,16.47,66.9
668,84.54,Rice,6.89,7.73,524.71,17.91,372.73
669,97.35,Corn,60.78,6.01,1047.75,12.17,292.14
670,146.12,Rice,68.97,6.08,1394.73,17.58,278.92
671,90.82,Corn,12.33,8.17,947.62,34.16,159.41
672,448.9,Wheat,39.0,7.75,392.76,33.62,385.14
673,44.72,Rice,46.17,8.22,1319.08,18.37,125.71
674,264.63,Rice,37.54,7.78,1834.09,24.27,135.47
675,208.15,Corn,12.98,7.29,951.47,32.74,257.32
676,491.28,Rice,42.48,7.46,667.77,10.15,178.83
677,60.46,Corn,75.37,8.17,1052.38,30.27,161.36
678,201.94,Corn,8.03,7.24,382.22,33.71,340.36
679,484.89,Corn,8.94,7.4,1694.83,12.28,342.94
680,433.43,Corn,36.12,5.97,1704.78,14.04,421.03
681,409.45,Wheat,94.23,6.92,1299.6,34.02,237.97
682,132.66,Corn,67.19,7.65,900.27,23.44,82.89
683,89.59,Rice,68.19,6.31,1659.63,10.35,173.15
684,335.98,Wheat,36.83,6.11,1242.97,16.44,491.0
685,465.04,Rice,59.77,6.44,1704.08,21.25,318.32
686,280.6,Wheat,2.0,6.22,1373.48,27.32,369.38
687,287.95,Corn,63.97,6.14,1633.49,28.33,53.31
688,143.59,Wheat,91.42,6.77,1317.56,34.89,283.19
689,385.9,Wheat,61.64,8.22,1004.04,17.19,66.89
690,97.59,Rice,87.5,7.02,1928.51,23.46,306.15
691,165.22,Rice,72.67,6.06,1219.89,23.33,464.35
692,215.59,Corn,12.94,5.73,1328.65,20.14,485.79
693,256.27,Wheat,90.34,7.59,674.83,14.23,293.25
694,124.99,Wheat,7.58,6.65,1363.61,34.44,256.19
695,61.84,Wheat,53.86,7.97,1271.73,31.33,475.26
696,307.26,Corn,15.07,7.48,614.23,22.46,353.12
697,147.87,Corn,2.16,7.89,401.3,25.08,79.2
698,292.71,Corn,42.78,6.32,1327.41,15.68,259.58
699,81.41,Corn,30.21,7.58,1598.28,23.59,158.11
700,243.16,Corn,49.11,6.29,1189.78,27.37,261.41
701,268.63,Rice,58.14,8.32,685.51,22.88,254.96
702,30.65,Wheat,5.33,7.41,1433.09,34.76,311.97
703,171.62,Wheat,13.18,6.47,436.18,25.28,210.55
704,71.54,Wheat,56.31,6.31,1051.12,19.27,123.92
705,36.37,Wheat,34.97,6.07,577.72,29.3,276.67
706,495.03,Wheat,73.19,7.58,613.58,14.26,423.59
707,164.57,Wheat,65.58,6.16,643.9,19.61,348.81
708,405.89,Wheat,84.71,7.29,957.4,18.67,202.27
709,131.05,Wheat,69.56,6.29,386.96,20.8,470.99
710,342.34,Rice,43.56,7.49,976.25,29.54,460.49
711,381.31,Wheat,67.62,7.94,1169.9,22.1,144.21
712,299.84,Rice,28.26,7.83,1121.6,29.85,67.74
713,238.43,Corn,31.33,7.78,950.73,24.41,383.59
714,208.86,Wheat,79.11,6.06,1726.55,18.55,422.42
715,177.69,Corn,45.2,5.77,547.06,30.25,485.54
716,465.12,Corn,80.04,7.6,1159.68,15.96,450.43
717,416.16,Corn,82.42,6.61,405.47,15.61,320.24
718,482.69,Rice,85.9,6.8,420.96,22.61,288.52
719,66.53,Corn,91.75,5.59,1275.57,16.52,62.53
720,366.78,Corn,43.67,6.28,1262.23,10.23,161.0
721,469.48,Corn,32.57,5.6,1792.66,26.21,256.83
722,94.71,Wheat,58.64,8.14,1248.39,22.78,332.83
723,37.92,Wheat,37.75,6.23,1931.64,21.14,300.76
724,371.85,Rice,60.51,7.17,382.78,34.17,384.19
725,289.36,Rice,70.85,5.62,466.61,24.28,175.9
726,421.71,Wheat,69.15,7.5,374.91,31.59,304.23
727,74.19,Rice,38.08,6.47,614.97,13.49,89.66
728,398.66,Wheat,17.52,8.19,1220.16,24.23,236.15
729,104.81,Corn,43.62,8.16,1397.47,31.7,387.57
730,86.01,Corn,15.12,6.48,377.49,24.58,362.03
731,86.31,Rice,89.12,8.2,1908.15,27.95,495.79
732,408.21,Wheat,35.24,8.49,1731.68,19.3,175.05
733,334.27,Wheat,16.29,7.98,804.24,12.31,274.19
734,263.92,Rice,3.52,8.03,431.22,21.45,198.29
735,182.62,Wheat,64.94,6.25,588.81,19.86,248.27
736,439.21,Corn,64.05,7.23,515.81,31.68,435.63
737,199.26,Rice,34.72,5.7,509.58,16.1,357.89
738,409.22,Rice,8.1,5.78,1181.55,34.17,447.1
739,222.37,Wheat,41.55,8.5,717.94,33.95,141.58
740,191.59,Rice,31.81,6.48,908.84,16.19,443.01
741,234.03,Wheat,68.03,7.74,1982.16,18.7,76.89
742,154.18,Wheat,60.97,7.92,1463.33,32.39,449.87
743,375.07,Wheat,37.09,8.07,1913.27,34.17,198.08
744,253.85,Wheat,22.57,8.49,542.35,21.09,191.56
745,119.95,Wheat,98.82,6.22,949.64,18.02,280.44
746,450.29,Rice,45.95,5.62,1243.04,23.15,473.31
747,195.03,Corn,69.14,6.73,430.49,27.19,71.5
748,274.06,Corn,14.91,5.89,307.12,16.84,208.5
749,453.7,Rice,49.07,5.57,1439.74,28.41,435.46
750,314.0,Rice,3.73,6.58,1391.09,11.29,228.22
751,62.86,Corn,51.04,7.85,998.34,11.23,139.62
752,470.22,Corn,96.44,7.2,1132.39,19.66,241.16
753,315.72,Corn,39.04,6.44,1006.25,18.84,223.5
754,170.78,Corn,4.86,7.46,340.81,17.89,461.94
755,73.94,Corn,4.06,6.2,870.13,22.28,392.87
756,398.04,Wheat,39.41,5.54,601.04,18.02,277.3
757,311.94,Rice,16.84,7.79,467.32,14.81,494.77
758,269.06,Wheat,3.31,7.37,1926.42,17.74,259.37
759,447.48,Corn,75.87,7.79,1318.91,34.37,76.21
760,395.36,Corn,46.39,5.62,1538.72,20.28,168.02
761,80.08,Corn,29.64,8.01,836.12,21.12,246.23
762,159.3,Wheat,90.11,7.36,968.35,24.41,120.61
763,128.0,Wheat,12.5,7.19,702.77,34.58,476.4
764,373.25,Corn,95.64,7.37,464.84,16.04,395.08
765,21.6,Wheat,32.08,8.09,604.35,27.03,170.73
766,287.1,Wheat,88.95,7.26,1655.77,27.9,315.86
767,382.42,Corn,60.69,7.24,1451.83,25.18,374.65
768,439.0,Wheat,82.84,8.47,1229.78,12.21,473.58
769,174.33,Rice,98.42,7.77,1107.65,26.92,446.74
770,411.52,Rice,29.55,6.83,1868.14,11.6,281.84
771,59.76,Rice,96.15,7.62,423.65,24.9,398.59
772,423.99,Rice,39.56,6.67,777.02,28.49,302.97
773,68.11,Corn,39.17,6.19,894.89,15.27,298.72
774,201.66,Corn,34.7,7.29,1630.12,31.04,101.63
775,399.66,Corn,54.6,8.28,1987.27,10.76,106.76
776,79.21,Rice,16.26,8.29,709.14,31.1,288.29
777,118.48,Rice,55.82,6.53,1786.32,21.51,170.99
778,362.52,Wheat,54.63,7.08,1712.06,15.44,59.47
779,361.42,Wheat,76.43,6.13,681.92,13.34,375.28
780,322.37,Rice,83.53,8.49,978.87,33.83,64.62
781,348.5,Rice,44.6,8.44,996.44,11.82,317.87
782,273.65,Rice,30.93,7.45,1962.98,14.98,292.64
783,129.64,Rice,26.67,7.91,607.52,18.7,485.97
784,176.12,Wheat,20.27,7.65,1658.57,25.51,267.9
785,94.89,Rice,6.71,7.28,868.13,23.62,78.62
786,454.68,Wheat,34.9,5.66,1542.48,13.14,298.26
787,293.78,Rice,27.75,6.86,1014.02,17.24,428.49
788,203.42,Rice,96.68,7.52,1283.21,15.97,498.58
789,233.69,Rice,56.21,7.53,1715.44,15.34,243.65
790,473.91,Wheat,35.38,6.62,1667.08,20.28,194.13
791,80.91,Wheat,58.47,8.33,1772.92,27.6,457.99
792,295.18,Corn,14.78,6.0,401.35,15.44,136.06
793,255.41,Rice,44.96,7.0,1476.49,19.17,326.94
794,307.67,Corn,63.0,7.57,537.98,19.77,232.57
795,13.96,Corn,49.4,7.59,1006.89,34.41,68.49
796,436.7,Wheat,40.78,7.45,1232.6,33.87,206.28
797,466.4,Wheat,99.39,6.33,984.66,30.0,169.35
798,284.74,Corn,88.15,5.97,1183.34,16.04,358.74
799,349.84,Rice,62.72,7.41,1994.09,11.7,476.96
800,461.64,Wheat,57.37,7.3,529.87,17.92,170.62
801,355.08,Rice,62.45,6.04,1448.28,16.67,415.16
802,80.51,Rice,20.93,7.62,973.2,22.65,74.91
803,290.26,Corn,40.12,6.87,526.12,29.44,292.15
804,305.32,Corn,4.91,7.5,569.85,31.46,81.75
805,214.94,Corn,48.08,8.01,1913.76,31.12,470.31
806,369.54,Corn,54.76,6.01,1795.32,18.99,394.86
807,467.51,Wheat,23.55,5.56,1841.97,27.18,346.08
808,463.16,Wheat,96.44,7.84,1985.61,17.82,420.75
809,228.17,Corn,91.04,7.33,654.14,11.52,341.38
810,61.05,Wheat,72.49,7.6,904.25,27.54,486.02
811,492.5,Corn,53.81,8.01,1437.67,10.25,371.28
812,420.25,Rice,87.13,7.91,1122.46,20.23,466.1
813,66.71,Rice,13.93,8.38,1011.26,18.23,282.71
814,460.82,Rice,79.26,7.11,908.28,27.33,102.68
815,435.6,Corn,13.36,6.97,1309.43,29.16,287.68
816,261.82,Rice,79.63,6.71,1278.51,17.6,107.09
817,297.68,Wheat,28.3,5.96,574.48,30.29,316.62
818,202.51,Rice,87.83,7.22,1101.96,17.35,267.12
819,32.11,Rice,94.46,6.33,1240.9,21.16,330.16
820,170.92,Rice,15.73,8.26,1269.49,28.18,54.52
821,402.41,Wheat,46.8,7.25,657.18,27.32,137.68
822,7.29,Corn,98.12,7.28,1561.86,34.68,271.1
823,170.08,Wheat,48.86,6.56,342.84,15.63,477.73
824,202.09,Corn,86.49,5.66,903.21,26.56,222.62
825,271.01,Corn,59.28,5.6,1626.36,25.24,240.97
826,460.33,Rice,38.16,6.77,1258.62,32.88,371.61
827,176.44,Corn,29.29,5.75,743.98,13.91,321.71
828,176.74,Wheat,21.12,7.32,1481.42,28.79,184.52
829,370.06,Wheat,76.42,8.14,1264.56,24.21,234.87
830,228.85,Corn,39.27,8.15,1653.61,16.87,147.96
831,116.18,Rice,51.62,7.48,1549.54,21.86,484.71
832,228.96,Rice,49.74,6.13,1337.18,18.34,108.79
833,74.72,Wheat,58.15,8.09,1129.9,24.48,217.33
834,92.31,Rice,86.69,8.16,526.41,32.23,61.63
835,251.69,Corn,98.09,6.09,744.27,24.23,149.8
836,212.37,Corn,41.35,7.71,1012.47,25.79,401.21
837,457.85,Wheat,82.92,6.36,1318.81,22.97,140.53
838,184.38,Corn,76.69,7.91,1173.3,11.28,86.03
839,292.39,Wheat,57.78,8.49,789.91,15.82,263.5
840,317.97,Corn,95.65,5.59,310.99,22.3,54.49
841,11.48,Wheat,20.85,8.19,1143.61,17.76,88.14
842,333.45,Rice,11.82,7.37,785.56,14.54,413.43
843,93.13,Corn,85.54,8.42,1548.83,22.6,397.16
844,480.73,Corn,44.48,6.9,340.71,18.07,461.81
845,78.59,Wheat,84.85,8.04,1294.21,16.45,434.53
846,210.24,Wheat,89.42,5.69,1900.51,21.6,357.43
847,47.25,Corn,7.18,6.51,596.5,13.33,73.55
848,498.45,Wheat,88.46,5.7,1101.8,33.19,402.28
849,253.59,Corn,45.38,8.43,455.42,31.69,430.48
850,299.72,Rice,51.53,7.95,1363.66,27.69,409.59
851,38.2,Wheat,63.03,8.06,1235.9,12.66,278.82
852,376.23,Corn,92.71,8.31,992.52,29.4,154.81
853,108.9,Rice,2.89,5.76,1186.34,30.2,430.4
854,449.54,Rice,48.21,6.66,1824.18,29.19,377.22
855,106.54,Corn,69.08,5.71,633.7,12.85,491.34
856,99.39,Wheat,72.55,6.13,338.36,26.1,120.06
857,23.09,Corn,69.56,6.19,1764.83,30.86,151.55
858,238.67,Rice,14.31,6.91,1281.1,24.43,145.31
859,284.6,Corn,30.64,6.31,1814.12,26.16,406.64
860,37.53,Wheat,36.51,5.8,1314.81,21.46,134.11
861,388.89,Rice,80.64,6.0,1677.27,23.22,80.0
862,229.38,Corn,28.6,5.94,1030.44,10.86,499.35
863,264.57,Wheat,21.86,8.42,1574.76,25.97,61.17
864,223.18,Rice,95.79,7.78,1852.17,12.04,425.86
865,203.38,Wheat,1.88,8.4,1272.61,20.88,214.42
866,282.02,Rice,99.78,6.82,607.33,17.32,428.73
867,81.84,Corn,68.01,6.34,756.96,23.64,299.58
868,95.05,Wheat,83.02,7.89,637.7,13.34,455.73
869,431.58,Rice,30.17,6.48,719.66,27.29,466.79
870,473.33,Wheat,2.42,6.4,820.91,29.88,54.09
871,189.79,Wheat,74.05,6.2,1243.73,14.08,83.94
872,139.02,Corn,83.58,5.89,1299.59,12.61,162.66
873,323.78,Wheat,74.31,6.27,1025.05,13.64,351.19
874,207.32,Rice,15.14,6.57,1346.22,31.93,449.72
875,17.57,Rice,75.59,7.52,438.68,23.2,256.97
876,82.3,Rice,77.12,5.69,449.24,21.68,323.14
877,359.41,Rice,66.2,6.13,592.11,12.67,134.82
878,331.17,Corn,76.85,7.93,1180.73,26.24,412.24
879,18.41,Wheat,84.75,5.94,663.79,31.7,485.3
880,114.88,Corn,61.75,6.53,781.58,30.7,170.87
881,119.38,Wheat,9.77,8.09,980.53,25.65,272.67
882,337.59,Wheat,49.28,5.96,1680.17,11.88,88.75
883,14.76,Wheat,8.69,5.75,323.57,12.81,301.61
884,56.53,Corn,41.35,6.95,1403.94,11.23,276.25
885,400.96,Wheat,41.3,6.41,1437.09,16.44,115.0
886,93.38,Corn,7.53,7.19,1657.71,13.39,248.93
887,328.11,Rice,35.53,7.91,1885.68,16.5,200.35
888,122.9,Rice,11.99,5.91,334.23,19.63,284.82
889,54.22,Wheat,81.02,7.24,561.43,33.57,313.54
890,125.37,Corn,94.82,7.02,1806.49,25.26,53.82
891,362.52,Rice,8.16,5.93,1079.48,30.87,392.45
892,428.57,Corn,95.56,7.37,1259.8,27.76,370.86
893,415.96,Corn,52.74,6.32,1427.15,12.81,214.83
894,201.61,Wheat,30.66,6.96,1454.41,28.4,73.82
895,335.7,Rice,8.61,5.75,1883.96,16.88,389.72
896,106.47,Wheat,50.56,6.88,1994.81,25.98,479.83
897,150.11,Wheat,79.66,6.42,1524.27,18.52,158.07
898,448.69,Rice,71.0,7.97,788.28,34.94,195.59
